R,G,B,colour
240.0,252.0,3.0,yellow
20.0,162.0,69.0,green
192.0,208.0,174.0,green
176.0,81.0,81.0,red
57.0,27.0,112.0,violet
223.0,52.0,224.0,pink
58.0,51.0,71.0,grey
76.0,55.0,139.0,blue
124.0,22.0,17.0,red
52.0,144.0,135.0,green
116.0,93.0,86.0,brown
39.0,249.0,108.0,green
56.0,149.0,161.0,blue
6.0,6.0,6.0,black
249.0,249.0,249.0,white
157.0,237.0,236.0,blue
50.0,205.0,50.0,green
255.0,20.0,147.0,pink
70.0,130.0,180.0,blue
186.0,85.0,211.0,purple
64.0,224.0,208.0,turquoise
218.0,112.0,214.0,purple
46.0,139.0,87.0,green
30.0,144.0,255.0,blue
205.0,133.0,63.0,yellow
138.0,68.0,46.0,brown
225.0,99.0,255.0,purple
187.0,117.0,9.0,brown
66.0,168.0,78.0,green
25.0,235.0,79.0,green
224.0,49.0,234.0,purple
169.0,175.0,255.0,blue
126.0,136.0,171.0,blue
250.0,2.0,242.0,pink
7.0,218.0,1.0,green
114.0,0.0,4.0,red
40.0,114.0,51.0,green
32.0,33.0,79.0,blue
115.0,66.0,34.0,brown
110.0,28.0,52.0,violet
198.0,166.0,100.0,yellow
137.0,172.0,118.0,green
202.0,196.0,176.0,grey
27.0,85.0,131.0,blue
250.0,139.0,55.0,orange
235.0,86.0,73.0,red
57.0,250.0,115.0,green
225.0,79.0,155.0,pink
135.0,73.0,23.0,brown
125.0,132.0,113.0,grey
105.0,73.0,47.0,brown
195.0,88.0,49.0,orange
228.0,160.0,16.0,yellow
165.0,32.0,25.0,red
52.0,59.0,41.0,green
0.0,143.0,57.0,green
32.0,96.0,61.0,green
229.0,190.0,1.0,yellow
110.0,28.0,52.0,violet
237.0,239.0,240.0,white
2.0,14.0,20.0,black
241.0,64.0,26.0,red
70.0,223.0,195.0,turquoise
80.0,142.0,131.0,blue
132.0,117.0,247.0,blue
186.0,232.0,255.0,blue
203.0,208.0,204.0,grey
203.0,50.0,52.0,red
216.0,75.0,32.0,orange
144.0,70.0,132.0,violet
33.0,33.0,33.0,brown
236.0,124.0,38.0,orange
65.0,34.0,39.0,red
76.0,81.0,74.0,grey
127.0,181.0,181.0,turquoise
139.0,140.0,122.0,grey
217.0,80.0,48.0,pink
202.0,18.0,167.0,violet
79.0,36.0,40.0,red
255.0,35.0,1.0,orange
162.0,35.0,29.0,red
149.0,95.0,32.0,brown
31.0,161.0,60.0,green
88.0,227.0,119.0,green
70.0,77.0,211.0,blue
74.0,206.0,133.0,green
255.0,140.0,174.0,pink
69.0,70.0,108.0,green
89.0,198.0,174.0,blue
15.0,206.0,164.0,green
211.0,110.0,112.0,pink
229.0,190.0,1.0,yellow
153.0,151.98,80.07000000000001,green
171.10500000000002,109.905,60.945,orange
255.0,186.915,33.915,yellow
95.115,255.0,33.915,green
32.895,83.89500000000001,13.004999999999999,green
173.91000000000003,225.93,236.895,blue
204.0,176.97,236.895,purple
235.11,4.08,186.915,pink
54.059999999999995,31.11,48.96,purple
255.0,150.95999999999998,88.99499999999999,orange
255.0,183.09,198.9,pink
236.895,87.975,121.125,pink
172.89000000000001,250.92,82.11,green
31.11,166.005,82.11,green
31.11,26.009999999999998,147.89999999999998,blue
241.99499999999998,185.89499999999998,0.0,yellow
241.99499999999998,13.004999999999999,37.995,red
83.89500000000001,198.9,255.0,blue
47.94,45.9,41.055,black
255.0,255.0,160.905,yellow
255.0,255.0,255.0,white
251.94,249.9,245.05499999999998,white
160.905,166.005,162.945,grey
45.9,98.94,29.07,green
37.995,6.885,172.89000000000001,purple
186.15,0.0,0.0,red
93.075,198.9,255.0,blue
205.02,237.91500000000002,255.0,blue
255.0,122.39999999999999,0.0,orange
0.0,58.905,109.905,blue
64.005,52.019999999999996,46.92,brown
183.0,147.0,14.0,green
0.0,208.0,20.0,green
61.0,82.0,255.0,blue
79.0,0.0,129.0,purple
106.0,90.0,205.0,blue
65.0,105.0,225.0,blue
255.0,140.0,0.0,orange
70.0,130.0,180.0,blue
60.0,179.0,113.0,green
255.0,105.0,180.0,pink
139.0,69.0,19.0,brown
135.0,206.0,250.0,blue
50.0,205.0,50.0,green
255.0,20.0,147.0,pink
148.0,0.0,211.0,violet
255.0,78.0,245.0,pink
0.0,145.0,186.0,blue
135.0,206.0,235.0,blue
255.0,69.0,0.0,orange
219.0,112.0,147.0,red
30.0,144.0,255.0,blue
250.0,250.0,210.0,yellow
95.0,158.0,160.0,blue
255.0,182.0,193.0,pink
128.0,0.0,128.0,purple
244.0,164.0,96.0,brown
139.0,0.0,0.0,red
141.0,84.0,0.0,brown
255.0,31.0,128.0,pink
197.0,134.0,0.0,orange
146.0,221.0,24.0,green
211.0,255.0,252.0,blue
192.0,94.0,255.0,purple
16.0,94.0,255.0,blue
242.0,207.0,255.0,pink
0.0,66.0,37.0,green
234.0,255.0,180.0,yellow
209.0,216.0,143.0,green
178.0,225.0,222.0,blue
186.0,104.0,147.0,pink
255.0,244.0,179.0,yellow
89.0,104.0,160.0,blue
250.0,144.0,127.0,orange
126.0,61.0,113.0,purple
67.0,90.0,56.0,green
165.0,196.0,213.0,blue
190.0,177.0,225.0,purple
56.0,79.0,64.0,green
255.0,195.0,160.0,pink
37.0,45.0,55.0,blue
121.0,135.0,145.0,blue
246.0,243.0,228.0,white
211.0,124.0,92.0,orange
143.0,102.0,189.0,violet
252.0,169.0,205.0,pink
130.0,41.0,0.0,red
217.0,235.0,145.0,green
145.0,230.0,235.0,blue
166.0,145.0,235.0,purple
133.0,48.0,124.0,pink
111.0,133.0,48.0,green
15.0,99.0,46.0,green
65.0,27.0,117.0,purple
130.0,8.0,47.0,red
163.0,189.0,128.0,green
128.0,177.0,189.0,blue
50.0,97.0,115.0,blue
159.0,163.0,206.0,blue
32.0,35.0,24.0,green
255.0,0.0,0.0,red
255.0,255.0,0.0,yellow
76.0,145.0,58.0,green
110.0,41.0,50.0,purple
41.0,74.0,150.0,blue
207.0,204.0,52.0,yellow
135.0,128.0,128.0,grey
26.0,25.0,31.0,black
239.0,138.0,23.0,orange
63.0,97.0,45.0,green
175.0,208.0,191.0,grey
246.0,121.0,229.0,violet
3.0,121.0,113.0,green
38.0,94.0,28.0,green
255.0,210.0,117.0,yellow
219.0,90.0,66.0,red
237.0,37.0,78.0,red
1.0,25.0,54.0,blue
70.0,83.0,98.0,grey
107.0,170.0,117.0,green
117.0,70.0,104.0,purple
77.0,170.0,87.0,green
88.0,125.0,113.0,green
248.0,243.0,43.0,yellow
255.0,237.0,223.0,pink
197.0,216.0,109.0,green
161.0,124.0,107.0,brown
60.0,136.0,126.0,green
72.0,77.0,109.0,purple
238.0,99.0,82.0,red
8.0,178.0,227.0,blue
117.0,185.0,190.0,blue
13.0,240.0,10.0,green
237.0,14.0,200.0,pink
9.0,188.0,138.0,green
21.0,122.0,110.0,green
152.0,159.0,206.0,purple
135.0,61.0,72.0,red
70.0,69.0,49.0,brown
120.0,133.0,139.0,grey
37.0,34.0,27.0,black
195.0,195.0,195.0,grey
139.0,140.0,122.0,grey
10.0,10.0,13.0,black
164.0,125.0,144.0,purple
71.0,64.0,46.0,brown
49.0,102.0,80.0,green
25.0,26.0,36.0,purple
29.0,30.0,51.0,blue
166.0,94.0,46.0,brown
248.0,243.0,53.0,yellow
162.0,35.0,29.0,red
127.0,181.0,181.0,turquoise
69.0,50.0,46.0,brown
104.0,108.0,94.0,grey
228.0,160.0,16.0,yellow
180.0,76.0,67.0,pink
169.0,131.0,7.0,yellow
16.0,44.0,84.0,blue
47.0,69.0,56.0,green
246.0,246.0,246.0,white
234.0,137.0,154.0,pink
213.0,48.0,50.0,red
125.0,132.0,113.0,grey
66.0,70.0,50.0,green
189.0,236.0,182.0,pink
236.0,124.0,38.0,orange
109.0,101.0,82.0,grey
45.0,87.0,44.0,green
207.0,211.0,205.0,white
37.0,109.0,123.0,blue
237.0,255.0,33.0,yellow
42.0,100.0,120.0,blue
40.0,40.0,40.0,black
228.0,160.0,16.0,yellow
134.0,115.0,161.0,violet
2.0,86.0,105.0,blue
93.0,155.0,155.0,blue
237.0,118.0,14.0,orange
74.0,25.0,44.0,violet
237.0,255.0,33.0,yellow
204.0,6.0,5.0,red
138.0,149.0,151.0,grey
112.0,83.0,53.0,brown
165.0,32.0,25.0,red
35.0,26.0,36.0,blue
217.0,80.0,48.0,pink
40.0,114.0,51.0,green
160.0,52.0,114.0,purple
89.0,53.0,31.0,brown
250.0,244.0,227.0,white
222.0,76.0,138.0,pink
236.0,124.0,38.0,orange
48.0,132.0,70.0,green
162.0,35.0,29.0,red
255.0,164.0,32.0,yellow
42.0,46.0,75.0,blue
203.0,208.0,204.0,white
62.0,59.0,50.0,black
77.0,86.0,69.0,grey
44.0,85.0,69.0,green
139.0,140.0,122.0,grey
189.0,236.0,182.0,green
198.0,166.0,100.0,brown
59.0,131.0,189.0,blue
130.0,137.0,143.0,grey
